doc_id,title,author,year,isbn,bemerkung
testbuch_hochspannung,Testbuch Hochspannung,Testdaten,2026,,Smoke-Test
experimente_mit_hochspannung_kronjaeger,Experimente mit Hochspannung,Jochen Kronjäger,2002,9783772354359,"2. Aufl.; 1. Aufl. 3772354149 'Vom Funken zur Röntgenstrahlung'"
neue_experimente_emp_tesla_mikrowellen,"Neue Experimente mit EMPs, Tesla- und Mikrowellen",Günter Wahl,2005,9783772342141,
das_grosse_tesla_experimentier_handbuch,Das große Tesla-Experimentier-Handbuch,Günter Wahl,2006,9783772355059,Tesla- & Hochspannungsgeneratoren
handbuch_tesla_experimente,Handbuch Tesla-Experimente,Günter Wahl,2009,9783772348853,"Blitz und Donner selbst erzeugt; auch als E-Book erhältlich"
experimente_mit_tesla_energie,Experimente mit Tesla-Energie,Günter Wahl,2004,9783772356940,
new_age_elektronik_projekte,New Age Elektronik-Projekte für den Selbstbau,Günter Wahl,2003,,
